feature,importance
International migrant stock (000/% of total pop)_2543.6/45.4,0.0005332990363059411
Threatened species (number)_2.1,0.0005329688863008953
International migrant stock (000/% of total pop)_133.1/0.3,0.0005295613056311141
International trade: Exports (million US$)_927,0.0005293410576207847
Education: Primary gross enrol ratio (f/m per 100 pop)_99.1/99.6,0.0005265542617928244
Education: Primary gross enrol ratio (f/m per 100 pop)_99.2/100.2,0.0005218306875846484
Education: Tertiary gross enrol ratio (f/m per 100 pop)_6.4/14.9,0.0005202892464116589
Threatened species (number)_34.0,0.0005190799081177028
Agricultural production index (2004-2006=100)_122,0.0005190481472471656
Infant mortality rate (per 1000 live births_17.9,0.0005178360307181258
Infant mortality rate (per 1000 live births_19.6,0.0005013305849884541
International trade: Exports (million US$)_10546,0.0004984707082832401
Infant mortality rate (per 1000 live births_49.0,0.0004960922405937156
Infant mortality rate (per 1000 live births_33.3,0.0004942879721134056
Education: Secondary gross enrol ratio (f/m per 100 pop)_92.8/92.1,0.0004902661256133617
"Pop using improved drinking water (urban/rural, %)_99.1/99.2",0.00048588615715024636
"Pop using improved drinking water (urban/rural, %)_31.3/8.3",0.0004845753863682945
Refugees and others of concern to UNHCR (in thousands)_6768.5,0.0004843274595891813
Energy supply per capita (Gigajoules)_99.7/90.4,0.00048243430144671634
International migrant stock (000/% of total pop)_2043.9/1.6,0.00048137747551213104
Threatened species (number)_38.6,0.00047916479049524204
Education: Secondary gross enrol ratio (f/m per 100 pop)_106.1/105.1,0.0004786261779590468
Energy supply per capita (Gigajoules)_99.1/96.9,0.0004784720614442025
Infant mortality rate (per 1000 live births_94.4,0.00047728400391791126
International trade: Exports (million US$)_2194,0.0004771647312747193
Infant mortality rate (per 1000 live births_3.3,0.00047674119618969744
Infant mortality rate (per 1000 live births_8.3,0.00047548991788899723
Energy supply per capita (Gigajoules)_97.9/97.9,0.0004751414149138082
"Population age distribution (0-14 / 60+ years, %)_16.7/19.5",0.00047501045507969094
Education: Primary gross enrol ratio (f/m per 100 pop)_45.9/53.2,0.0004742020574420171
